                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 2.0633,                  1.293,                 1.1019,                0.15621,                0.12476,                0.12092,                0.06562,                 2.9293,                 1.9162,                 1.3594,               0.006106,               0.006106,               0.006106
                    120,                 2.0973,                 1.2701,                 1.1079,                 0.1613,                0.12205,                0.12103,                0.06571,                 2.9289,                 1.9172,                 1.3595,               0.006073,               0.006073,               0.006073
                    121,                 2.1008,                 1.2775,                 1.1042,                0.16167,                 0.1216,                0.12107,                0.06585,                  2.929,                 1.9178,                 1.3595,                0.00604,                0.00604,                0.00604
                    122,                 2.0988,                 1.2631,                 1.1045,                0.16109,                0.12284,                0.12135,                0.06591,                 2.9294,                  1.918,                 1.3597,               0.006007,               0.006007,               0.006007
                    123,                 2.0867,                 1.2723,                    1.1,                0.16086,                0.12301,                0.12154,                0.06589,                 2.9296,                 1.9183,                 1.3599,               0.005974,               0.005974,               0.005974
                    124,                 2.0502,                 1.2699,                 1.1019,                  0.161,                0.12296,                0.12158,                0.06597,                 2.9294,                 1.9177,                   1.36,               0.005941,               0.005941,               0.005941
                    125,                 2.1109,                 1.2658,                 1.0978,                 0.1614,                0.12262,                0.12162,                0.06597,                 2.9297,                 1.9177,                   1.36,               0.005908,               0.005908,               0.005908
                    126,                 2.1029,                 1.2542,                  1.082,                0.16173,                0.12245,                0.12165,                0.06598,                 2.9297,                 1.9182,                 1.3605,               0.005875,               0.005875,               0.005875
                    127,                  2.095,                 1.2653,                 1.0973,                0.16182,                0.12228,                0.12176,                0.06605,                 2.9293,                 1.9175,                 1.3605,               0.005842,               0.005842,               0.005842
                    128,                 2.0789,                 1.2537,                 1.0826,                0.16131,                0.12279,                0.12192,                0.06611,                 2.9297,                 1.9182,                 1.3611,               0.005809,               0.005809,               0.005809
                    129,                 2.0765,                 1.2522,                 1.1043,                0.16171,                0.12273,                0.12195,                0.06613,                 2.9297,                 1.9188,                  1.361,               0.005776,               0.005776,               0.005776
                    130,                 2.0681,                 1.2465,                  1.113,                0.16255,                 0.1225,                0.12204,                0.06621,                 2.9297,                 1.9189,                 1.3612,               0.005743,               0.005743,               0.005743
                    131,                 2.1195,                 1.2611,                 1.0928,                0.16327,                0.12172,                0.12207,                0.06622,                 2.9297,                 1.9191,                 1.3611,                0.00571,                0.00571,                0.00571
                    132,                 2.0636,                 1.2355,                 1.0831,                0.16476,                0.12155,                0.12203,                0.06624,                 2.9298,                 1.9192,                 1.3613,               0.005677,               0.005677,               0.005677
                    133,                  2.025,                  1.222,                 1.0939,                0.16976,                0.11794,                0.12198,                0.06624,                 2.9302,                   1.92,                 1.3615,               0.005644,               0.005644,               0.005644
                    134,                 2.0888,                 1.2477,                 1.0901,                0.16873,                0.11867,                0.12201,                0.06633,                 2.9301,                 1.9207,                 1.3611,               0.005611,               0.005611,               0.005611
                    135,                 2.0709,                 1.2439,                 1.0881,                0.16514,                0.12081,                0.12222,                0.06638,                 2.9298,                 1.9209,                  1.361,               0.005578,               0.005578,               0.005578
                    136,                 2.0629,                 1.2477,                  1.099,                0.16816,                0.11907,                0.12221,                0.06647,                 2.9295,                 1.9212,                 1.3609,               0.005545,               0.005545,               0.005545
                    137,                 2.0362,                 1.2302,                 1.0808,                0.16677,                0.11924,                0.12223,                0.06643,                 2.9293,                 1.9223,                 1.3611,               0.005512,               0.005512,               0.005512
                    138,                 2.1084,                 1.2371,                 1.0791,                0.16565,                0.11952,                0.12208,                0.06641,                 2.9293,                 1.9233,                 1.3614,               0.005479,               0.005479,               0.005479
                    139,                 2.0749,                 1.2436,                 1.0939,                0.16407,                0.12031,                0.12208,                0.06643,                 2.9298,                  1.924,                 1.3616,               0.005446,               0.005446,               0.005446
